title,authors,text,average_rating,ratings_count
All Families are Psychotic,douglascoupland,"['douglascoupland', 'dysfunctional', 'family', 'eve', 'next', 'space', 'shuttle', 'mission', 'divided', 'family', 'come', 'together', 'warm', 'witty', 'wise', 'family', 'psychotic', 'coupland', 'top', 'form', 'irresistibly', 'hilarious', 'unique', 'wonderful', 'independent', 'sunday', 'cheap', 'motel', 'hour', 'cape', 'canaveral', 'janet', 'drummond', 'take', 'medication', 'rapid', 'tally', 'whereabouts', 'child', 'wade', 'spent', 'night', 'jail', 'suicidal', 'bryan', 'due', 'arrive', 'moment', 'vowelfree', 'girlfriend', 'shw', 'sarah', 'bolt', 'lightning', 'frozen', 'midflash', 'orlando', 'star', 'friday', 'shuttle', 'mission', 'janets', 'exhusband', 'trophy', 'wife', 'also', 'town', 'janet', 'spends', 'moment', 'contemplating', 'family', 'went', 'wrong']",3.69,350.0
Death in the Clouds,agathachristie,"['agathachristie', 'detective', 'mystery', 'story', 'woman', 'killed', 'poisoned', 'dart', 'enclosed', 'confines', 'commercial', 'passenger', 'plane', 'seat', 'no9', 'hercule', 'poirot', 'ideally', 'placed', 'observe', 'fellow', 'air', 'passenger', 'right', 'sat', 'pretty', 'young', 'woman', 'clearly', 'infatuated', 'man', 'opposite', 'ahead', 'seat', 'no13', 'sat', 'countess', 'poorlyconcealed', 'cocaine', 'habit', 'across', 'gangway', 'seat', 'no8', 'detective', 'writer', 'troubled', 'aggressive', 'wasp', 'poirot', 'yet', 'realize', 'behind', 'seat', 'no2', 'sat', 'slumped', 'lifeless', 'body', 'woman']",3.8,21123.0
Appointment with Death,agathachristie,"['agathachristie', 'detective', 'mystery', 'story', 'repugnant', 'amercian', 'widow', 'killed', 'trip', 'petra', 'among', 'towering', 'red', 'cliff', 'petra', 'like', 'monstrous', 'swollen', 'buddha', 'sat', 'corpse', 'mr', 'boynton', 'tiny', 'puncture', 'mark', 'wrist', 'sign', 'fatal', 'injection', 'killed', '24', 'hour', 'available', 'solve', 'mystery', 'hercule', 'poirot', 'recalled', 'chance', 'remark', 'hed', 'overheard', 'back', 'jerusalem', 'see', 'dont', 'shes', 'got', 'killed', 'mr', 'boynton', 'indeed', 'detestable', 'woman', 'hed', 'ever', 'met']",3.86,24859.0
Hallowe'en Party,agathachristie,"['agathachristie', 'poirot', 'hercule', 'fictitious', 'character', 'one', 'belief', 'little', 'girl', 'insists', 'witnessed', 'murder', 'turn', 'drowned', 'hercule', 'poirot', 'set', 'catch', 'killer']",3.66,18820.0
Hercule Poirot's Christmas,agathachristie,"['agathachristie', 'christmas', 'story', 'night', 'christmas', 'cruel', 'tyrannical', 'filthyrich', 'simeon', 'lee', 'found', 'locked', 'bedroom', 'throat', 'cut', 'hercule', 'poirot', 'must', 'put', 'deductive', 'power', 'test', 'solve', 'one', 'chilling', 'casesand', 'prevent', 'clever', 'killer', 'spilling', 'blood']",3.93,23113.0
The Big Four,agathachristie,"['agathachristie', 'detective', 'mystery', 'story', 'ruthless', 'international', 'cartel', 'seek', 'world', 'domination', 'framed', 'doorway', 'poirots', 'bedroom', 'stood', 'uninvited', 'guest', 'coated', 'head', 'foot', 'dust', 'man', 'gaunt', 'face', 'stared', 'moment', 'swayed', 'fell', 'suffering', 'shock', 'exhaustion', 'significance', 'figure', '4', 'scribbled', 'sheet', 'paper', 'poirot', 'find', 'plunged', 'world', 'international', 'intrigue', 'risking', 'life', 'uncover', 'truth', 'number', 'four']",3.59,22155.0
The Thirteen Problems,agathachristie,"['agathachristie', 'detective', 'mystery', 'story', 'english', 'tuesday', 'night', 'club', 'venue', 'local', 'challenge', 'miss', 'marple', 'solve', 'recent', 'crime', 'one', 'tuesday', 'evening', 'group', 'gather', 'miss', 'marples', 'house', 'conversation', 'turn', 'unsolved', 'crime', 'case', 'disappearing', 'bloodstain', 'thief', 'committed', 'crime', 'twice', 'message', 'deathbed', 'poisoned', 'man', 'read', 'heap', 'fish', 'strange', 'case', 'invisible', 'spiritualist', 'warned', 'blue', 'geranium', 'meant', 'death', 'pit', 'wit', 'power', 'deduction', 'tuesday', 'night', 'club']",3.89,12840.0
They Do it with Mirrors,agathachristie,"['agathachristie', 'american', 'fiction', 'man', 'shot', 'juvenile', 'reform', 'home', 'someone', 'else', 'dy', 'miss', 'marple', 'sens', 'danger', 'visit', 'friend', 'living', 'victorian', 'mansion', 'double', 'rehabilitiation', 'centre', 'delinquent', 'fear', 'confirmed', 'youth', 'fire', 'revolver', 'administrator', 'lewis', 'serrocold', 'neither', 'injured', 'mysterious', 'visitor', 'mr', 'gilbrandsen', 'le', 'fortunate', 'shot', 'dead', 'simultaneously', 'another', 'part', 'building', 'pure', 'coincidence', 'miss', 'marple', 'think', 'vow', 'discover', 'real', 'reason', 'mr', 'gilbrandsens', 'visit']",3.75,415.0
A Murder is Announced,agathachristie,"['agathachristie', 'detective', 'mystery', 'story', 'english', 'villager', 'chipping', 'cleghorn', 'amazed', 'advertisement', 'local', 'paper', 'read', 'murder', 'announced', 'take', 'place', 'friday', 'october', '29th', 'little', 'paddock', '630pm', 'unable', 'resist', 'crowd', 'begin', 'gather', 'house', 'appointed', 'time', 'man', 'killed', 'look', 'like', 'attempted', 'robbery', 'miss', 'marple', 'becomes', 'involved']",3.98,680.0
The Mirror Crack'd from Side to Side,agathachristie,"['agathachristie', 'marple', 'jane', 'fictitious', 'character', 'one', 'minute', 'silly', 'heather', 'badcock', 'gabbling', 'movie', 'idol', 'glamorous', 'marina', 'gregg', 'next', 'heather', 'suffered', 'massive', 'seizure', 'deadly', 'poison', 'really', 'intended', 'marina', 'frozen', 'expression', 'suggested', 'witnessed', 'something', 'horrific', 'others', 'searched', 'material', 'evidence', 'jane', 'marple', 'conducted', 'different', 'investigation', 'human', 'nature']",3.91,23249.0
